response_id,source,source_reference,eligibility,data_status,included_in_final_analysis,exclusion_reason,flag_count,flags,imputation_count,imputation_detail
Digital-58,digital,Google Forms workbook row 59; timestamp 2026-09-20 21:59:44.650000,Yes,retained,Yes,,0,,0,[]
Digital-59,digital,Google Forms workbook row 60; timestamp 2026-09-20 22:04:30.967000,No,excluded,No,Q1 eligibility response: No,1,ineligible_or_blank_Q1,0,[]
Digital-60,digital,Google Forms workbook row 61; timestamp 2026-09-21 06:22:41.480000,Yes,retained,Yes,,0,,0,[]
Digital-61,digital,Google Forms workbook row 62; timestamp 2026-09-21 08:49:48.097000,Yes,retained,Yes,,0,,0,[]
Digital-62,digital,Google Forms workbook row 63; timestamp 2026-09-21 10:51:08.259000,Yes,retained,Yes,,0,,0,[]
Manual-01,manual,QUESTIONNAIRE_SCAN.pdf pp. 1–2,Yes,retained,Yes,,0,,0,[]
Manual-02,manual,QUESTIONNAIRE_SCAN.pdf pp. 3–4,Yes,retained,Yes,,0,,0,[]
Manual-03,manual,QUESTIONNAIRE_SCAN.pdf pp. 5–6,Yes,retained,Yes,,0,,0,[]
Manual-04,manual,QUESTIONNAIRE_SCAN.pdf pp. 7–8,Yes,retained,Yes,,0,,0,[]
Manual-05,manual,QUESTIONNAIRE_SCAN.pdf pp. 9–10,No,excluded,No,ineligible_or_blank_eligibility,0,,0,[]
Manual-06,manual,QUESTIONNAIRE_SCAN.pdf pp. 11–12,Yes,retained,Yes,,0,,0,[]
Manual-07,manual,QUESTIONNAIRE_SCAN.pdf pp. 13–14,Yes,retained,Yes,,0,,0,[]
Manual-08,manual,QUESTIONNAIRE_SCAN.pdf pp. 15–16,Yes,retained,Yes,,0,,0,[]
Manual-09,manual,QUESTIONNAIRE_SCAN.pdf pp. 17–18,Yes,retained,Yes,,0,,0,[]
Manual-10,manual,QUESTIONNAIRE_SCAN.pdf pp. 19–20,Yes,retained,Yes,,0,,0,[]
Manual-11,manual,QUESTIONNAIRE_SCAN.pdf pp. 21–22,Yes,retained,Yes,,0,,0,[]
Manual-12,manual,QUESTIONNAIRE_SCAN.pdf pp. 23–24,Yes,retained,Yes,,0,,0,[]
Manual-13,manual,QUESTIONNAIRE_SCAN.pdf pp. 25–26,Yes,retained,Yes,,0,,0,[]
Manual-14,manual,QUESTIONNAIRE_SCAN.pdf pp. 27–28,Yes,retained,Yes,,0,,0,[]
Manual-15,manual,QUESTIONNAIRE_SCAN.pdf pp. 29–30,Yes,retained,Yes,,0,,0,[]
Manual-16,manual,QUESTIONNAIRE_SCAN.pdf pp. 31–32,Yes,retained,Yes,,0,,0,[]
Manual-17,manual,QUESTIONNAIRE_SCAN.pdf pp. 33–34,Yes,retained,Yes,,0,,0,[]
Manual-18,manual,QUESTIONNAIRE_SCAN.pdf pp. 35–36,,excluded,No,ineligible_or_blank_eligibility,0,,0,[]
Manual-19,manual,QUESTIONNAIRE_SCAN.pdf pp. 37–38,Yes,retained,Yes,,0,,0,[]
Manual-20,manual,QUESTIONNAIRE_SCAN.pdf pp. 39–40,,excluded,No,ineligible_or_blank_eligibility,0,,0,[]
Manual-21,manual,QUESTIONNAIRE_SCAN.pdf pp. 41–42,Yes,retained,Yes,,0,,0,[]
Manual-22,manual,QUESTIONNAIRE_SCAN.pdf pp. 43–44,Yes,retained,Yes,,0,,0,[]
Manual-23,manual,QUESTIONNAIRE_SCAN.pdf pp. 45–46,Yes,retained,Yes,,0,,0,[]
Manual-24,manual,QUESTIONNAIRE_SCAN.pdf pp. 47–48,Yes,retained,Yes,,0,,0,[]
Manual-25,manual,QUESTIONNAIRE_SCAN.pdf pp. 49–50,Yes,retained_with_imputation,Yes,,0,,1,"[{""item"": ""HL6"", ""construct"": ""HL"", ""imputed_value"": 3.333, ""method"": ""construct_mean_of_remaining_items"", ""peers_used"": 6}]"
Manual-26,manual,QUESTIONNAIRE_SCAN.pdf pp. 51–52,,excluded,No,ineligible_or_blank_eligibility,0,,0,[]
Manual-27,manual,QUESTIONNAIRE_SCAN.pdf pp. 53–54,Yes,retained,Yes,,0,,0,[]
Manual-28,manual,QUESTIONNAIRE_SCAN.pdf pp. 55–56,Yes,retained,Yes,,0,,0,[]
Manual-29,manual,QUESTIONNAIRE_SCAN.pdf pp. 57–58,Yes,retained,Yes,,0,,0,[]
Manual-30,manual,QUESTIONNAIRE_SCAN.pdf pp. 59–60,Yes,retained,Yes,,0,,0,[]
Manual-31,manual,QUESTIONNAIRE_SCAN.pdf pp. 61–62,Yes,retained,Yes,,0,,0,[]
Manual-32,manual,QUESTIONNAIRE_SCAN.pdf pp. 63–64,,excluded,No,ineligible_or_blank_eligibility,0,,0,[]
Manual-33,manual,QUESTIONNAIRE_SCAN.pdf pp. 65–66,Yes,retained,Yes,,0,,0,[]
Manual-34,manual,QUESTIONNAIRE_SCAN.pdf pp. 67–68,,excluded,No,ineligible_or_blank_eligibility,0,,0,[]
Manual-35,manual,QUESTIONNAIRE_SCAN.pdf pp. 69–70,Yes,retained,Yes,,0,,0,[]
Manual-36,manual,QUESTIONNAIRE_SCAN.pdf pp. 71–72,Yes,retained,Yes,,0,,0,[]
Manual-37,manual,QUESTIONNAIRE_SCAN.pdf pp. 73–74,Yes,retained,Yes,,0,,0,[]
Manual-38,manual,QUESTIONNAIRE_SCAN.pdf pp. 75–76,Yes,retained,Yes,,0,,0,[]
Manual-39,manual,QUESTIONNAIRE_SCAN.pdf pp. 77–78,Yes,retained,Yes,,0,,0,[]
Manual-40,manual,QUESTIONNAIRE_SCAN.pdf pp. 79–80,No,excluded,No,ineligible_or_blank_eligibility,1,Q1_eligibility:answered_no_but_scale_items_completed,0,[]
Manual-41,manual,QUESTIONNAIRE_SCAN.pdf pp. 81–82,Yes,retained,Yes,,0,,0,[]
Manual-42,manual,QUESTIONNAIRE_SCAN.pdf pp. 83–84,Yes,retained,Yes,,0,,0,[]
Manual-43,manual,QUESTIONNAIRE_SCAN.pdf pp. 85–86,,excluded,No,ineligible_or_blank_eligibility,0,,0,[]
Manual-44,manual,QUESTIONNAIRE_SCAN.pdf pp. 87–88,,excluded,No,ineligible_or_blank_eligibility,0,,0,[]
Manual-45,manual,QUESTIONNAIRE_SCAN.pdf pp. 89–90,,excluded,No,ineligible_or_blank_eligibility,0,,0,[]
Manual-46,manual,QUESTIONNAIRE_SCAN.pdf pp. 91–92,Yes,retained_with_imputation,Yes,,0,,1,"[{""item"": ""HL4"", ""construct"": ""HL"", ""imputed_value"": 4.0, ""method"": ""construct_mean_of_remaining_items"", ""peers_used"": 6}]"
Manual-47,manual,QUESTIONNAIRE_SCAN.pdf pp. 93–94,Yes,retained,Yes,,0,,0,[]
Manual-48,manual,QUESTIONNAIRE_SCAN.pdf pp. 95–96,Yes,retained,Yes,,0,,0,[]
Manual-49,manual,QUESTIONNAIRE_SCAN.pdf pp. 97–98,No,excluded,No,ineligible_or_blank_eligibility,1,Q1_eligibility:answered_no_but_scale_items_completed,0,[]
Manual-50,manual,QUESTIONNAIRE_SCAN.pdf pp. 99–100,Yes,retained,Yes,,0,,0,[]
Manual-51,manual,QUESTIONNAIRE_SCAN.pdf pp. 101–102,Yes,retained,Yes,,0,,0,[]
Manual-52,manual,QUESTIONNAIRE_SCAN.pdf pp. 103–104,Yes,retained,Yes,,0,,0,[]
Manual-53,manual,QUESTIONNAIRE_SCAN.pdf pp. 105–106,Yes,retained,Yes,,0,,0,[]
Manual-54,manual,QUESTIONNAIRE_SCAN.pdf pp. 107–108,Yes,retained,Yes,,0,,0,[]
Manual-55,manual,QUESTIONNAIRE_SCAN.pdf pp. 109–110,Yes,retained,Yes,,0,,0,[]
Manual-56,manual,QUESTIONNAIRE_SCAN.pdf pp. 111–112,Yes,retained,Yes,,0,,0,[]
Manual-57,manual,QUESTIONNAIRE_SCAN.pdf pp. 113–114,Yes,retained,Yes,,0,,0,[]
Manual-58,manual,QUESTIONNAIRE_SCAN.pdf pp. 115–116,Yes,retained,Yes,,0,,0,[]
Manual-59,manual,QUESTIONNAIRE_SCAN.pdf pp. 117–118,,excluded,No,ineligible_or_blank_eligibility,0,,0,[]
Manual-60,manual,QUESTIONNAIRE_SCAN.pdf pp. 119–120,Yes,retained,Yes,,0,,0,[]
Manual-61,manual,QUESTIONNAIRE_SCAN.pdf pp. 121–122,,excluded,No,ineligible_or_blank_eligibility,0,,0,[]
Manual-62,manual,QUESTIONNAIRE_SCAN.pdf pp. 123–124,Yes,retained,Yes,,0,,0,[]
Manual-63,manual,QUESTIONNAIRE_SCAN.pdf pp. 125–126,Yes,retained,Yes,,0,,0,[]
Manual-64,manual,QUESTIONNAIRE_SCAN.pdf pp. 127–128,Yes,retained,Yes,,0,,0,[]
Manual-65,manual,QUESTIONNAIRE_SCAN.pdf pp. 129–130,Yes,retained,Yes,,0,,0,[]
Manual-66,manual,QUESTIONNAIRE_SCAN.pdf pp. 131–132,Yes,retained,Yes,,0,,0,[]
Manual-67,manual,QUESTIONNAIRE_SCAN.pdf pp. 133–134,Yes,retained,Yes,,0,,0,[]
Manual-68,manual,QUESTIONNAIRE_SCAN.pdf pp. 135–136,Yes,retained,Yes,,0,,0,[]
Manual-69,manual,QUESTIONNAIRE_SCAN.pdf pp. 137–138,,excluded,No,ineligible_or_blank_eligibility,4,Q1_eligibility:blank_or_illegible | Q2_age_group:blank_or_illegible | Q3_length_of_service:blank_or_illegible | Q4_job_level:blank_or_illegible,0,[]
Manual-70,manual,QUESTIONNAIRE_SCAN.pdf pp. 139–140,Yes,retained,Yes,,0,,0,[]
