Response_ID,Pilot_ID,Q1_Eligibility,Q2_Age_Group,Q3_Service_Length,Q4_Job_Level,Q5_Hybrid_Learning,Q6_Hybrid_Learning,Q7_Hybrid_Learning,Q8_Hybrid_Learning,Q9_Hybrid_Learning,Q10_Hybrid_Learning,Q11_Hybrid_Learning,Q12_Trainer_Competence,Q13_Trainer_Competence,Q14_Trainer_Competence,Q15_Trainer_Competence,Q16_Trainer_Competence,Q17_Trainer_Competence,Q18_Engagement,Q19_Engagement,Q20_Engagement,Q21_Engagement,Q22_Engagement,Q23_Engagement,Q24_Outcomes,Q25_Outcomes,Q26_Outcomes,Q27_Outcomes,Q28_Outcomes,Q29_Outcomes,Q30_Outcomes,Pilot_Q1_Completion_Time_Min,Pilot_Q2,Pilot_Q3,Pilot_Q4,Pilot_Q5,Pilot_Q6,Pilot_Q7_Unclear_YN,Pilot_Q7_Unclear_QNum,Pilot_Q7_Unclear_Reason,Pilot_Q8_Repetitive_YN,Pilot_Q8_Repetitive_QNum,Pilot_Q8_Repetitive_Reason,Pilot_Q9_Difficult_YN,Pilot_Q9_Difficult_QNum,Pilot_Q9_Difficult_Reason,Pilot_Q10_Comments
R011,PILOT-0011,Yes,Below 25,11-20 years,Other,4,4,4,4,4,5,4,5,5,4,5,5,5,3,4,4,4,3,4,3,3,3,3,4,3,3,24,Very clear,Very understandable,Very appropriate,Very clear,Just right,No,,,No,,,No,,,Consider clarifying Union Vidya for other platform users.
R012,PILOT-0012,Yes,55 and above,Below 5 years,Managerial,5,5,4,5,5,4,4,5,4,5,4,5,5,4,3,4,4,4,5,2,3,3,3,3,3,2,8,Very clear,Very understandable,Extremely appropriate,Extremely clear,Just right,No,,,No,,,No,,,The Union Vidya wording was familiar and appropriate.
R013,PILOT-0013,Yes,45-54,Below 5 years,Managerial,4,4,5,4,4,4,4,3,3,3,3,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,22,Extremely clear,Very understandable,Extremely appropriate,Extremely clear,Just right,No,,,No,,,No,,,
R014,PILOT-0014,Yes,25-34,Above 20 years,Managerial,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,4,3,4,9,Extremely clear,Slightly understandable,Extremely appropriate,Very clear,Just right,No,,,No,,,No,,,
R015,PILOT-0015,Yes,25-34,Above 20 years,Officer,5,4,5,5,5,5,5,4,5,4,4,5,4,4,4,3,3,3,3,4,4,5,4,5,5,4,21,Very clear,Extremely understandable,Extremely appropriate,Moderately clear,Too long,No,,,No,,,No,,,
R016,PILOT-0016,Yes,25-34,Above 20 years,Managerial,4,4,4,3,4,4,3,5,5,5,5,5,5,4,4,3,2,3,3,5,4,5,5,5,4,4,15,Very clear,Extremely understandable,Very appropriate,Extremely clear,Just right,No,,,No,,,No,,,Very comprehensive. Covered all important aspects.
R017,PILOT-0017,Yes,25-34,5-10 years,Clerical,3,3,3,3,2,3,3,3,5,4,4,5,4,5,5,5,5,5,5,4,5,4,4,5,4,5,15,Very clear,Extremely understandable,Moderately appropriate,Extremely clear,Just right,No,,,No,,,No,,,
R018,PILOT-0018,Yes,35-44,Below 5 years,Clerical,5,5,4,4,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,2,3,3,4,3,4,3,14,Extremely clear,Extremely understandable,Extremely appropriate,Moderately clear,Just right,No,,,No,,,No,,,The five-point scale worked well.
R019,PILOT-0019,Yes,25-34,11-20 years,Clerical,4,5,5,4,5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,4,4,4,4,4,4,4,13,Very clear,Very understandable,Extremely appropriate,Very clear,Too long,No,,,No,,,No,,,The instructions were clear. No issues.
R020,PILOT-0020,Yes,25-34,5-10 years,Officer,3,2,3,3,4,3,4,4,4,4,4,3,4,4,3,2,3,4,3,4,4,4,4,3,5,5,13,Extremely clear,Moderately understandable,Extremely appropriate,Extremely clear,Just right,No,,,Yes,6,Seemed similar to Q5 about connected learning experience,No,,,
